"rfid","sex","coatcolor","project_name","organism","strain","comments","pcr_barcode","barcode","library","flag","date","QC_pass","location_on_tscc","user"
"71","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","M",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","F",NA,"u01_huda_akil","rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
