"rfid","project_name","dames","sires"
"933000320046651","u01_peter_kalivas_us","73698_2","73687_1"
"933000320046171","u01_peter_kalivas_us","72778_4","72782_3"
"933000320047047","u01_peter_kalivas_us","74112_2","73745_1"
"933000320047202","u01_peter_kalivas_us","73767_2","73726_1"
"933000320047191","u01_peter_kalivas_us","73688_2","73858_1"
"933000320047204","u01_peter_kalivas_us","73687_2","74135_1"
"933000320046705","u01_peter_kalivas_us","73436_1","73170_1"
"933000320047187","u01_peter_kalivas_us","73687_2","73875_1"
"933000320045831","u01_peter_kalivas_us","73194_2","73380_2"
"933000320047066","u01_peter_kalivas_us","73770_2","73736_1"
"933000320045953","u01_peter_kalivas_us","72790_2","72805_1"
"933000320047194","u01_peter_kalivas_us","73768_2","74155_1"
"933000320045614","u01_peter_kalivas_us","73020_2","72789_1"
"933000320046941","u01_peter_kalivas_us","73704_2","73699_1"
"933000320047192","u01_peter_kalivas_us","73688_2","73728_1"
"933000320045968","u01_peter_kalivas_us","72778_4","72782_3"
"933000320045621","u01_peter_kalivas_us","73319_1","73317_1"
"933000320047039","u01_peter_kalivas_us","74112_2","73878_1"
"933000320046675","u01_peter_kalivas_us","73734_3","73741_1"
"933000320047177","u01_peter_kalivas_us","73783_2","73728_1"
"933000320046701","u01_peter_kalivas_us","73666_2","73719_1"
"933000320047030","u01_peter_kalivas_us","73737_2","73675_1"
"933000320047183","u01_peter_kalivas_us","73671_2","73784_1"
"933000320046248","u01_peter_kalivas_us","73325_2","73342_2"
"933000320046945","u01_peter_kalivas_us","73187_2","73379_2"
"933000320046234","u01_peter_kalivas_us","73504_4","73505_1"
"933000320046153","u01_peter_kalivas_us","73190_2","73425_2"
"933000320046674","u01_peter_kalivas_us","73697_2","73701_1"
"933000320047072","u01_peter_kalivas_us","73728_2","73782_1"
"933000320047185","u01_peter_kalivas_us","73671_2","74155_1"
"933000320046722","u01_peter_kalivas_us","73400_1","73410_2"
"933000320047215","u01_peter_kalivas_us","73743_2","73742_1"
"933000320045612","u01_peter_kalivas_us","73020_2","72789_1"
"933000320046949","u01_peter_kalivas_us","73435_1","73283_1"
"933000320047198","u01_peter_kalivas_us","74145_2","73740_1"
"933000320045971","u01_peter_kalivas_us","72792_2","72778_3"
"933000320046468","u01_peter_kalivas_us","73224_2","73223_1"
"933000320045603","u01_peter_kalivas_us","72807_2","72935_1"
"933000320046950","u01_peter_kalivas_us","73382_2","73229_1"
"933000320046723","u01_peter_kalivas_us","73546_1","73556_1"
"933000320047218","u01_peter_kalivas_us","74145_2","73735_1"
"933000320045606","u01_peter_kalivas_us","73398_1","73151_1"
"933000320045618","u01_peter_kalivas_us","73398_1","73151_1"
"933000320047184","u01_peter_kalivas_us","73768_2","73784_1"
"933000320045616","u01_peter_kalivas_us","73174_2","73188_1"
"933000320046944","u01_peter_kalivas_us","73435_1","73283_1"
"933000320047059","u01_peter_kalivas_us","73672_2","73697_1"
"933000320046948","u01_peter_kalivas_us","73187_2","73379_2"
"933000320045615","u01_peter_kalivas_us","73174_2","73188_1"
"933000320046660","u01_peter_kalivas_us","73701_2","73690_1"
"933000320045961","u01_peter_kalivas_us","72802_2","72784_1"
"933000320045975","u01_peter_kalivas_us","72790_2","72805_1"
"933000320046159","u01_peter_kalivas_us","73171_2","73182_1"
"933000320047075","u01_peter_kalivas_us","73747_2","73666_1"
"933000320046238","u01_peter_kalivas_us","73165_2","73168_1"
"933000320047026","u01_peter_kalivas_us","73705_2","73874_1"
"933000320046229","u01_peter_kalivas_us","73425_1","73194_1"
"933000320045609","u01_peter_kalivas_us","73398_1","73151_1"
"933000320047052","u01_peter_kalivas_us","73672_2","73669_1"
"933000320046713","u01_peter_kalivas_us","73546_1","73556_1"
