rfid,demux_reads,mapped_read_pairs,unmapped_reads_ratio,duplication_ratio,uniq_mapped_ratio,QC_reads,QC_sex,date,file_location,missing_rate,QC_missing,heterozygosity_rate,QC_heterozygosity,coatcolor,QC_coat_color_albino,QC_pass
933000320046037,297650,290221,0.018767008231144,0.08246,0.79725684528809,reject,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.18161,reject,0.327802189604215,pass,BLACK,pass,reject
933000320046038,3928475,3852261,0.0117619432476979,0.077226,0.824143465339604,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0571502,pass,0.322675080663427,pass,ALBINO,pass,pass
933000320046039,1551633,1519761,0.0126341087099849,0.082626,0.796453478367629,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.105069,reject,0.474708609505124,reject,ALBINO,reject,reject
933000320046041,2020480,1979435,0.0127999287298068,0.074724,0.811024855479886,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0681846,pass,0.310871451302554,pass,BLACKHOOD,pass,pass
933000320046043,2789924,2735095,0.0118098199090728,0.085045,0.80841825798839,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0595712,pass,0.324036264955748,pass,BLACKHOOD,pass,pass
933000320046045,3740770,3669037,0.0116324981220444,0.078806,0.812088420298495,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0577574,pass,0.321487024743512,pass,BLACKHOOD,pass,pass
933000320046046,2038676,1999615,0.0119634017372059,0.076786,0.811041332708091,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0681088,pass,0.311032324824214,pass,BLACKHOOD,pass,pass
933000320046047,2192210,2155790,0.0105222583602848,0.085305,0.829743728931079,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0598519,pass,0.32219306887693,pass,BROWN,pass,pass
933000320046048,1215930,1189341,0.0139543394767791,0.075738,0.795120196063918,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0853805,pass,0.325398904053887,pass,BROWNHOOD,pass,pass
933000320046050,3904154,3831986,0.0113705811809678,0.081127,0.815244736759872,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0563262,pass,0.317416498789934,pass,BROWNHOOD,pass,pass
