Library_ID	ID	ID2
7929938_TWAS_126	7929938	0007929938
000789977D_TWAS_127	000789977D	000789977D
0007D5B7D6_TWAS_128	0007D5B7D6	0007D5B7D6
0007929A87_TWAS_129	0007929A87	0007929A87
00079299F3_TWAS_130	00079299F3	00079299F3
0007929A14_TWAS_131	0007929A14	0007929A14
000792A2DF_TWAS_132	000792A2DF	000792A2DF
7929956_TWAS_133	7929956	0007929956
000792A24E_TWAS_134	000792A24E	000792A24E
000792A20E_TWAS_135	000792A20E	000792A20E
0007929BBD_TWAS_136	0007929BBD	0007929BBD
0007D3A794_TWAS_137	0007D3A794	0007D3A794
0007D600E0_TWAS_138	0007D600E0	0007D600E0
0007D5FD51_TWAS_139	0007D5FD51	0007D5FD51
0007D6151C_TWAS_140	0007D6151C	0007D6151C
0007D6063F_TWAS_141	0007D6063F	0007D6063F
0007D60ADC_TWAS_142	0007D60ADC	0007D60ADC
0007929AF5_TWAS_143	0007929AF5	0007929AF5
000792A135_TWAS_144	000792A135	000792A135
00078997E9_TWAS_145	00078997E9	00078997E9
0007A01109_TWAS_146	0007A01109	0007A01109
7899919_TWAS_147	7899919	0007899919
000792A131_TWAS_148	000792A131	000792A131
7899718_TWAS_149	7899718	0007899718
0007929B83_TWAS_150	0007929B83	0007929B83
000792A1C7_TWAS_151	000792A1C7	000792A1C7
00079FFF4F_TWAS_152	00079FFF4F	00079FFF4F
000792A1BD_TWAS_153	000792A1BD	000792A1BD
000792A251_TWAS_154	000792A251	000792A251
000792A0E0_TWAS_155	000792A0E0	000792A0E0
00079F6009_TWAS_156	00079F6009	00079F6009
000792A41F_TWAS_157	000792A41F	000792A41F
00079FB999_TWAS_158	00079FB999	00079FB999
000792A34C_TWAS_159	000792A34C	000792A34C
7899778_TWAS_160	7899778	0007899778
000792A0FF_TWAS_161	000792A0FF	000792A0FF
000789973F_TWAS_162	000789973F	000789973F
000792A420_TWAS_163	000792A420	000792A420
000792A12F_TWAS_164	000792A12F	000792A12F
000792A3D1_TWAS_166	000792A3D1	000792A3D1
0007A037D1_TWAS_167	0007A037D1	0007A037D1
0007A06BBD_TWAS_168	0007A06BBD	0007A06BBD
000792A14D_TWAS_169	000792A14D	000792A14D
00079FA000_TWAS_170	00079FA000	00079FA000
000792A33E_TWAS_171	000792A33E	000792A33E
00079FD154_TWAS_172	00079FD154	00079FD154
00078998E4_TWAS_174	00078998E4	00078998E4
00079F8DC9_TWAS_175	00079F8DC9	00079F8DC9
7899974_TWAS_176	7899974	0007899974
000792A33B_TWAS_177	000792A33B	000792A33B
0007929B06_TWAS_178	0007929B06	0007929B06
000792A3DB_TWAS_179	000792A3DB	000792A3DB
000792A21D_TWAS_180	000792A21D	000792A21D
0007929BEF_TWAS_181	0007929BEF	0007929BEF
000792A428_TWAS_182	000792A428	000792A428
0007929C2B_TWAS_183	0007929C2B	0007929C2B
000792A288_TWAS_184	000792A288	000792A288
0007929B0A_TWAS_185	0007929B0A	0007929B0A
000792A179_TWAS_186	000792A179	000792A179
0007929BE1_TWAS_187	0007929BE1	0007929BE1
000792A1A2_TWAS_189	000792A1A2	000792A1A2
000792A0D6_TWAS_190	000792A0D6	000792A0D6
00079298E2_TWAS_191	00079298E2	00079298E2
