"","id_f51","cc","sex","fam_no","dob","home_cage","sire_id","dam_id","transpondernumber","sw_id","generation","ear_punch","sire_sw_id","dam_sw_id"
"57","41459_2",NA,"F",NA,"38627",NA,NA,NA,"00067323C2","HSF0003","0",NA,NA,NA
"58","41458_2",NA,"F",NA,"38622",NA,NA,NA,"00067321EB","HSF0004","0",NA,NA,NA
"59","41456_2",NA,"F",NA,"38622",NA,NA,NA,"00067160C7","HSF0005","0",NA,NA,NA
"60","41447_2",NA,"F",NA,"38614",NA,NA,NA,"00067177F2","HSF0006","0",NA,NA,NA
"61","41454_2",NA,"F",NA,"38613",NA,NA,NA,"0006730B96","HSF0007","0",NA,NA,NA
"62","41461_2",NA,"F",NA,"38646",NA,NA,NA,"6717002","HSF0008","0",NA,NA,NA
"63","41457_2",NA,"F",NA,"38622",NA,NA,NA,"0006717ED7","HSF0009","0",NA,NA,NA
"64","41455_2",NA,"F",NA,"38614",NA,NA,NA,"0006716BE4","HSF0010","0",NA,NA,NA
"65","41428_2",NA,"F",NA,"38614",NA,NA,NA,"00067160A9","HSF0011","0",NA,NA,NA
"66","41451_2",NA,"F",NA,"38614",NA,NA,NA,"000672F621","HSF0012","0",NA,NA,NA
"67","41449_2",NA,"F",NA,"38614",NA,NA,NA,"000672EF47","HSF0013","0",NA,NA,NA
"68","41460_2",NA,"F",NA,"38633",NA,NA,NA,"6715551","HSF0014","0",NA,NA,NA
"69","41446_2",NA,"F",NA,"38614",NA,NA,NA,"6730954","HSF0015","0",NA,NA,NA
"70","41464_2",NA,"F",NA,"38653",NA,NA,NA,"000672FD83","HSF0017","0",NA,NA,NA
"71","41450_2",NA,"F",NA,"38614",NA,NA,NA,"0006731EED","HSF0018","0",NA,NA,NA
"72","41448_2",NA,"F",NA,"38614",NA,NA,NA,"0006714AC2","HSF0019","0",NA,NA,NA
"73","44712_2",NA,"F",NA,"38678",NA,NA,NA,"0006714B87","HSF0020","0",NA,NA,NA
"74","41463_2",NA,"F",NA,"38641",NA,NA,NA,"0006715EFB","HSF0021","0",NA,NA,NA
