"rfid","project_name","dames","sires"
"00077E9095","p50_hao_chen_2014","HSF02501","HSM02531"
"00079FE64A","p50_hao_chen_2014","00077E8C05","00077E91A4"
"933000320046893","u01_suzanne_mitchell","73742_2","73785_1"
"933000320047799","u01_suzanne_mitchell","73232_2","73728_1"
"933000320047781","u01_suzanne_mitchell","73670_2","73209_1"
"933000320047233","u01_suzanne_mitchell","73382_2","73228_1"
"933000320045896","u01_suzanne_mitchell","73325_2","73342_2"
"933000320047758","u01_suzanne_mitchell","73993_1","73189_1"
"933000320047089","u01_suzanne_mitchell","73731_2","73783_1"
"933000320046898","u01_suzanne_mitchell","73504_4","73398_2"
"933000320047226","u01_suzanne_mitchell","73804_1","73439_2"
"933000320046900","u01_suzanne_mitchell","73719_2","73203_1"
"933000320046883","u01_suzanne_mitchell","73207_2","73768_1"
"933000320047229","u01_suzanne_mitchell","73382_2","73228_1"
"933000320046888","u01_suzanne_mitchell","73380_1","73203_1"
"933000320046058","u01_suzanne_mitchell","72632_2","72535_1"
"933000320046073","u01_suzanne_mitchell","72541_5","72689_1"
"933000320045924","u01_suzanne_mitchell","72775_4","72794_1"
"933000320045881","u01_suzanne_mitchell","72801_2","72793_3"
"933000320046064","u01_suzanne_mitchell","72539_2","72625_1"
"933000320046897","u01_suzanne_mitchell","73692_2","73671_1"
"933000320046264","u01_suzanne_mitchell","72663_2","72668_1"
"933000320047632","u01_suzanne_mitchell","73208_2","73192_1"
"933000320046071","u01_suzanne_mitchell","72525_2","72534_5"
"933000320045920","u01_suzanne_mitchell","72775_4","72794_1"
"933000320047088","u01_suzanne_mitchell","73382_2","73378_2"
"933000320047082","u01_suzanne_mitchell","73437_1","73770_1"
"933000320047099","u01_suzanne_mitchell","73399_1","73207_1"
"933000320047770","u01_suzanne_mitchell","73183_2","73376_2"
"933000320045884","u01_suzanne_mitchell","73352_2","73312_3"
"933000320047097","u01_suzanne_mitchell","73380_1","73424_2"
"933000320047762","u01_suzanne_mitchell","73232_2","73171_1"
"933000320046261","u01_suzanne_mitchell","72668_2","72618_1"
"933000320045915","u01_suzanne_mitchell","73319_1","73317_1"
"933000320047079","u01_suzanne_mitchell","73726_2","73770_1"
"933000320047769","u01_suzanne_mitchell","73152_2","73673_1"
"933000320046262","u01_suzanne_mitchell","72663_2","72668_1"
"933000320047241","u01_suzanne_mitchell","73689_2","73229_1"
"933000320047247","u01_suzanne_mitchell","73169_2","73228_1"
"933000320047754","u01_suzanne_mitchell","73410_1","73189_1"
"933000320047234","u01_suzanne_mitchell","73227_1","73439_2"
"933000320045882","u01_suzanne_mitchell","72526_2","72663_1"
"933000320047638","u01_suzanne_mitchell","73183_2","73192_1"
"933000320047782","u01_suzanne_mitchell","73168_2","73728_1"
"933000320047639","u01_suzanne_mitchell","73770_2","73400_2"
"933000320046069","u01_suzanne_mitchell","72632_2","72535_1"
"933000320046271","u01_suzanne_mitchell","72618_2","72525_1"
"933000320046890","u01_suzanne_mitchell","73735_2","73398_2"
"933000320047753","u01_suzanne_mitchell","73993_1","73376_2"
"933000320046892","u01_suzanne_mitchell","73380_1","73167_1"
"933000320047634","u01_suzanne_mitchell","73668_2","73192_1"
"933000320047798","u01_suzanne_mitchell","73376_1","73398_2"
"933000320047237","u01_suzanne_mitchell","73671_2","73209_1"
"933000320047640","u01_suzanne_mitchell","73724_2","73669_1"
"933000320047800","u01_suzanne_mitchell","73229_2","73674_1"
"933000320046896","u01_suzanne_mitchell","73207_2","73878_1"
"933000320047759","u01_suzanne_mitchell","73410_1","73189_1"
"933000320046876","u01_suzanne_mitchell","73676_2","73692_1"
"933000320047228","u01_suzanne_mitchell","73399_1","73209_1"
"933000320047777","u01_suzanne_mitchell","73376_1","73875_1"
"933000320046895","u01_suzanne_mitchell","73189_2","73671_1"
"933000320046882","u01_suzanne_mitchell","73676_2","73785_1"
"933000320046259","u01_suzanne_mitchell","72626_6","72660_1"
"933000320045895","u01_suzanne_mitchell","73325_2","73342_2"
"933000320046063","u01_suzanne_mitchell","72936_2","72803_1"
"933000320046894","u01_suzanne_mitchell","73742_2","73665_1"
"933000320047080","u01_suzanne_mitchell","73399_1","73706_1"
"933000320047098","u01_suzanne_mitchell","73380_1","73505_1"
"933000320047791","u01_suzanne_mitchell","73687_2","73209_1"
"933000320047227","u01_suzanne_mitchell","73667_2","73378_2"
"933000320047786","u01_suzanne_mitchell","73376_1","73737_1"
"933000320046889","u01_suzanne_mitchell","73189_2","73768_1"
"933000320047775","u01_suzanne_mitchell","73152_2","73784_1"
"933000320046881","u01_suzanne_mitchell","73726_2","73424_2"
"933000320046181","u01_suzanne_mitchell","72665_1","72620_1"
"933000320047784","u01_suzanne_mitchell","73376_1","73209_1"
"933000320047626","u01_suzanne_mitchell","73183_2","73400_2"
"933000320047760","u01_suzanne_mitchell","73410_1","73736_1"
"933000320046061","u01_suzanne_mitchell","72541_5","72689_1"
"933000320047783","u01_suzanne_mitchell","73725_2","73742_1"
"933000320047757","u01_suzanne_mitchell","73192_2","73189_1"
"933000320047771","u01_suzanne_mitchell","73770_2","73376_2"
"933000320045889","u01_suzanne_mitchell","73327_1","73325_1"
"933000320046880","u01_suzanne_mitchell","73719_2","73665_1"
"933000320047785","u01_suzanne_mitchell","73735_2","73742_1"
"933000320047788","u01_suzanne_mitchell","73670_2","73737_1"
"933000320045925","u01_suzanne_mitchell","72777_2","72808_1"
"933000320047092","u01_suzanne_mitchell","73380_1","73436_2"
"933000320047076","u01_suzanne_mitchell","73380_1","73207_1"
"933000320047087","u01_suzanne_mitchell","73156_2","73783_1"
"933000320047649","u01_suzanne_mitchell","73198_2","73669_1"
"933000320047243","u01_suzanne_mitchell","73689_2","73698_1"
"933000320046196","u01_suzanne_mitchell","72667_2","72527_1"
"933000320046068","u01_suzanne_mitchell","72782_4","72775_3"
"933000320047768","u01_suzanne_mitchell","73410_1","73673_1"
"933000320047776","u01_suzanne_mitchell","73725_2","73209_1"
"933000320046877","u01_suzanne_mitchell","73504_4","73175_1"
"933000320047249","u01_suzanne_mitchell","73399_1","73209_1"
"933000320046373","u01_suzanne_mitchell","72871_1","72952_1"
"933000320047083","u01_suzanne_mitchell","73380_1","73706_1"
"933000320046484","u01_suzanne_mitchell","72778_4","72782_3"
"933000320045803","u01_suzanne_mitchell","73020_2","72789_1"
"933000320045821","u01_suzanne_mitchell","73020_2","72789_1"
"933000320046571","u01_suzanne_mitchell","72807_2","72935_1"
"933000320046490","u01_suzanne_mitchell","73511_1","73512_1"
"933000320047635","u01_suzanne_mitchell","73724_2","73400_2"
"933000320046885","u01_suzanne_mitchell","73504_4","73398_2"
"933000320045822","u01_suzanne_mitchell","73020_2","72789_1"
"933000320047780","u01_suzanne_mitchell","73232_2","73674_1"
"933000320046027","u01_suzanne_mitchell","73412_1","73169_1"
"933000320046774","u01_suzanne_mitchell","73168_2","73424_2"
"933000320046368","u01_suzanne_mitchell","72789_2","72799_1"
"933000320046048","u01_suzanne_mitchell","73189_2","73207_1"
"933000320045757","u01_suzanne_mitchell","72772_4","72772_4"
"933000320046491","u01_suzanne_mitchell","73327_1","73325_1"
"933000320046764","u01_suzanne_mitchell","73188_2","73435_2"
"933000320046767","u01_suzanne_mitchell","73151_2","73174_1"
"933000320046769","u01_suzanne_mitchell","72807_2","72935_1"
"933000320046482","u01_suzanne_mitchell","73511_1","73512_1"
"933000320047646","u01_suzanne_mitchell","73198_2","73382_1"
"933000320046331","u01_suzanne_mitchell","73136_2","73184_1"
"933000320045804","u01_suzanne_mitchell","72802_2","72784_1"
"933000320047238","u01_suzanne_mitchell","73227_1","73229_1"
"933000320046344","u01_suzanne_mitchell","73345_2","73327_2"
"933000320046369","u01_suzanne_mitchell","73398_1","73151_1"
"933000320046492","u01_suzanne_mitchell","73511_1","73512_1"
"933000320046483","u01_suzanne_mitchell","72773_4","72905_1"
"933000320047795","u01_suzanne_mitchell","73168_2","73875_1"
"933000320046046","u01_suzanne_mitchell","73174_2","73188_1"
"933000320046326","u01_suzanne_mitchell","73311_3","73306_5"
"933000320047645","u01_suzanne_mitchell","73183_2","73192_1"
"933000320046758","u01_suzanne_mitchell","73152_2","73203_1"
"933000320047081","u01_suzanne_mitchell","73437_1","73505_1"
"933000320045766","u01_suzanne_mitchell","73435_1","73283_1"
"933000320046775","u01_suzanne_mitchell","72792_2","72778_3"
"933000320047246","u01_suzanne_mitchell","73667_2","73209_1"
"933000320046752","u01_suzanne_mitchell","73192_2","73167_1"
"933000320046986","u01_suzanne_mitchell","73169_2","73228_1"
"933000320046332","u01_suzanne_mitchell","72936_2","72803_1"
"933000320047767","u01_suzanne_mitchell","73878_2","73736_1"
"933000320046762","u01_suzanne_mitchell","72790_2","72805_1"
"933000320047633","u01_suzanne_mitchell","73804_1","73382_1"
"933000320046761","u01_suzanne_mitchell","73188_2","73435_2"
"933000320046759","u01_suzanne_mitchell","73152_2","73203_1"
"933000320046772","u01_suzanne_mitchell","73209_2","73150_1"
"933000320046878","u01_suzanne_mitchell","73156_2","73436_2"
"933000320046337","u01_suzanne_mitchell","73227_1","73439_2"
"933000320046041","u01_suzanne_mitchell","72790_2","72805_1"
"933000320046496","u01_suzanne_mitchell","73332_2","72292_4"
"933000320046330","u01_suzanne_mitchell","73311_3","73306_5"
"933000320046478","u01_suzanne_mitchell","72871_1","72952_1"
"933000320047752","u01_suzanne_mitchell","73878_2","73376_2"
"933000320047244","u01_suzanne_mitchell","73783_2","73698_1"
"933000320046486","u01_suzanne_mitchell","72773_4","72905_1"
"933000320047242","u01_suzanne_mitchell","73169_2","73229_1"
"933000320047790","u01_suzanne_mitchell","73687_2","73411_2"
"933000320046572","u01_suzanne_mitchell","73340_2","73337_2"
"933000320046755","u01_suzanne_mitchell","73156_2","73411_2"
"933000320046569","u01_suzanne_mitchell","73207_2","73171_1"
"933000320046347","u01_suzanne_mitchell","72803_2","72936_1"
"933000320046367","u01_suzanne_mitchell","73206_2","73243_3"
"933000320047797","u01_suzanne_mitchell","73229_2","73411_2"
"933000320046335","u01_suzanne_mitchell","73136_2","73184_1"
"933000320045772","u01_suzanne_mitchell","73378_1","73399_2"
"933000320047095","u01_suzanne_mitchell","73380_1","73505_1"
"933000320046038","u01_suzanne_mitchell","72790_2","72805_1"
"933000320046564","u01_suzanne_mitchell","72807_2","72935_1"
"933000320046351","u01_suzanne_mitchell","72803_2","72936_1"
"933000320047250","u01_suzanne_mitchell","73169_2","73229_1"
"933000320046561","u01_suzanne_mitchell","73340_2","73337_2"
